ID,Parameter_ID,Value,Segments,Structure
lit-168_gnat-1,168_gnat,uodas,u ə d ɐ s,VVTVS
lit-169_fly-1,169_fly,musė,m ʊ s eː,RVSV
lit-170_butterfly-1,170_butterfly,drugys,d r ʊ g iː s,TRVTVS
lit-170_butterfly-2,170_butterfly,peteliškė,p ɛ t ɛ lʲ ɪ ʃ k eː,TVTVRVSTV
lit-171_berry-1,171_berry,uoga,u ə g ɐ,VVTV
lit-172_apple-1,172_apple,obuolys,o b uə lˠ iː s,VTVRVS
lit-173_mushroom-1,173_mushroom,grybas,g r iː b ɐ s,TRVTVS
lit-174_onion-1,174_onion,svogūnas,s ʋ o g uː n ɐ s,SRVTVRVS
lit-175_seed-1,175_seed,sėkla,s eː k lˠ ɐ,SVTRV
lit-176_grain-1,176_grain,grūdai,g r uː d ɐɪˑ,TRVTV
lit-177_hay-1,177_hay,šienas,ʃ i ə n ɐ s,SVVRVS
lit-178_peelhusk-1,178_peelhusk,žievelė,ʒ i ə ʋ ɛ lˠ eː,SVVRVRV
lit-179_pit-1,179_pit,duobė,d uə b eː,TVTV
lit-180_trap-1,180_trap,pinklės,pʲ ɪ n k lˠ eː s,TVRTRVS
lit-180_trap-2,180_trap,žabangai,ʒ ɐ b aˑ n g ɐɪˑ,SVTVRTV
lit-181_noose-1,181_noose,kilpa,kʲ ɪ lˠ p ɐ,TVRTV
lit-182_track-1,182_track,vėžė,ʋ eː ʒ eː,RVSV
lit-182_track-2,182_track,pėdos,p eː d o s,TVTVS
lit-182_track-3,182_track,pėdsakas,p eː d s ɐ k ɐ s,TVTSVTVS
lit-183_ash-1,183_ash,pelenai,p ɛ lˠ ɛ n ɐɪˑ,TVRVRV
lit-184_filth-1,184_filth,purvas,p ʊ rˑ ʋ ɐ s,TVRRVS
lit-185_iron-1,185_iron,geležis,g ɛ lˠ ɛ ʒʲ ɪ s,TVRVSVS
lit-186_gold-1,186_gold,auksas,aˑ ʊ k s ɐ s,VVTSVS
lit-187_silver-1,187_silver,sidabras,sʲ ɪ d a b r ɐ s,SVTVTRVS
lit-188_coal-1,188_coal,anglis,ɐ n g lʲ ɪ s,VRTRVS
lit-189_glass-1,189_glass,stiklas,s tʲ ɪ k lˠ ɐ s,STVTRVS
lit-190_clay-1,190_clay,molis,m oː lʲ ɪ s,RVRVS
lit-191_sand-1,191_sand,smėlis,s m eː lʲ ɪ s,SRVRVS
lit-192_human-1,192_human,žmogus,ʒ m o g ʊ s,SRVTVS
lit-193_man-1,193_man,vyras,ʋ iː r ɐ s,RVRVS
lit-193_man-2,193_man,vyriškis,ʋʲ iː rʲ ɪ ʃ kʲ ɪ s,RVRVSTVS
lit-194_woman-1,194_woman,moteris,m oː t ɛ rʲ ɪ s,RVTVRVS
lit-195_child-1,195_child,vaikas,ʋ ɐɪˑ k ɐ s,RVTVS
lit-196_boy-1,196_boy,vaikinas,ʋ ɐɪˑ kʲ ɪ n ɐ s,RVTVRVS
lit-196_boy-2,196_boy,berniukas,b ɛ r nʲ ɪ ʊ k ɐ s,TVRRVVTVS
lit-197_girl-1,197_girl,mergytė,m ɛ r g iː t eː,RVRTVTV
lit-197_girl-2,197_girl,mergaitė,m ɛ r g aˑ j ɪ t eː,RVRTVRVTV
lit-198_family-1,198_family,šeima,ʃ ɛɪˑ m ɑ,SVRV
lit-199_grandfather-1,199_grandfather,senelis,s ɛ n ɛ lʲ ɪ s,SVRVRVS
lit-200_grandmother-1,200_grandmother,senelė,s ɛ n ɛ lˠ eː,SVRVRV
lit-201_parents-1,201_parents,tėvai,t eː ʋ ɐɪˑ,TVRV
lit-202_father-1,202_father,tėvas,t eː ʋ ɐ s,TVRVS
lit-203_mother-1,203_mother,motina,m oː tʲ ɪ n ɐ,RVTVRV
lit-204_son-1,204_son,sūnus,s uː n ʊ s,SVRVS
lit-205_daughter-1,205_daughter,duktė,d ʊ k t eː,TVTTV
lit-206_brother-1,206_brother,brolis,b r oː lʲ ɪ s,TRVRVS
lit-207_sister-1,207_sister,sesuo,s ɛ s uə,SVSV
lit-208_uncle-1,208_uncle,dėdė,d eː d eː,TVTV
lit-209_aunt-1,209_aunt,teta,t ɛ t ɑ,TVTV
lit-210_husband-1,210_husband,vyras,ʋ iː r ɐ s,RVRVS
lit-211_wife-1,211_wife,žmona,ʒ m o n ɑ,SRVRV
lit-212_joy-1,212_joy,džiaugsmas,d ʒʲ ɛʊˑ g s m ɐ s,TSVTSRVS
lit-213_laughter-1,213_laughter,juokas,j uə k ɐ s,RVTVS
lit-214_happiness-1,214_happiness,laimė,lˠ aˑ j ɪ m eː,RVRVRV
lit-215_grief-1,215_grief,vargas,ʋ ɐ rˑ g ɐ s,RVRTVS
lit-215_grief-2,215_grief,rūpestis,r uː p ɛ s tʲ ɪ s,RVTVSTVS
lit-216_wish-1,216_wish,troškimas,t r o ʃ kʲ ɪ m ɐ s,TRVSTVRVS
lit-216_wish-2,216_wish,pageidavimas,p ɐ g ɛɪˑ d a ʋʲ ɪ m ɐ s,TVTVTVRVRVS
lit-217_desire-1,217_desire,noras,n oː r ɐ s,RVRVS
lit-217_desire-2,217_desire,geidulys,g ɛɪˑ d ʊ lˠ iː s,TVTVRVS
