ID,Parameter_ID,Value,Segments,SegmentStructure,ConVoStructure
lit-137_sheep-1,137_sheep,avis,ɐ ʋʲ ɪ s,V R V S,V C V C
lit-138_pig-1,138_pig,kiaulė,kʲ ɛʊˑ lˠ eː,T V R V,C V C V
lit-139_dog-1,139_dog,šuo,ʃ uə,S V,C V
lit-140_cat-1,140_cat,katė,k ɐ t eː,T V T V,C V C V
lit-141_bear-1,141_bear,lokys,lˠ o k iː s,R V T V S,C V C V C
lit-142_squirrel-1,142_squirrel,voveraitė,ʋ o ʋ ɛ r aˑ j ɪ t eː,R V R V R V R V T V,C V C V C V C V C V
lit-143_elk-1,143_elk,briedis,b r i ə dʲ ɪ s,T R V V T V S,C C V V C V C
lit-144_fox-1,144_fox,lapė,lˠ a p eː,R V T V,C V C V
lit-145_hare-1,145_hare,kiškas,kʲ ɪ ʃ k ɐ s,T V S T V S,C V C C V C
lit-146_mouse-1,146_mouse,pelė,p ɛ lˠ eː,T V R V,C V C V
lit-147_wolf-1,147_wolf,vilkas,ʋʲ ɪ lˠˑ k ɐ s,R V R T V S,C V C C V C
lit-148_bird-1,148_bird,paukštis,p ɒʊˑ k ʃ tʲ ɪ s,T V T S T V S,C V C C C V C
lit-149_swarm-1,149_swarm,spiečius,s p i ə tʃʲ ɪ ʊ s,S T V V X V V S,C C V V C V V C
lit-150_chicken-1,150_chicken,višta,ʋʲ ɪ ʃ t ɑ,R V S T V,C V C C V
lit-151_cock-1,151_cock,gaidys,g ɐɪˑ d iː s,T V T V S,C V C V C
lit-152_goose-1,152_goose,žąsis,ʒ ɑː sʲ ɪ s,S V S V S,C V C V C
lit-153_eagle-1,153_eagle,erelis,ɛ r ɛ lʲ ɪ s,V R V R V S,V C V C V C
lit-154_duck-1,154_duck,antis,aˑ n tʲ ɪ s,V R T V S,V C C V C
lit-155_owl-1,155_owl,pelėda,p ɛ lˠ eː d ɐ,T V R V T V,C V C V C V
lit-156_crane-1,156_crane,gervė,g eˑ r ʋ eː,T V R R V,C V C C V
lit-157_crow-1,157_crow,varna,ʋ aˑ r n ɐ,R V R R V,C V C C V
lit-158_cuckoo-1,158_cuckoo,gegužė,g ɛ g ʊ ʒ eː,T V T V S V,C V C V C V
lit-159_swan-1,159_swan,gulbė,g ʊ lˠˑ b eː,T V R T V,C V C C V
lit-160_fish-1,160_fish,žuvis,ʒ ʊ ʋʲ ɪ s,S V R V S,C V C V C
lit-161_perch-1,161_perch,ešerys,ɛ ʃ ɛ r iː s,V S V R V S,V C V C V C
lit-162_pike-1,162_pike,lydeka,lʲ iː d ɛ k ɑ,R V T V T V,C V C V C V
lit-163_snake-1,163_snake,gyvatė,gʲ iː ʋ a t eː,T V R V T V,C V C V C V
lit-164_worm-1,164_worm,kirmėlė,kʲ ɪ r m eː lˠ eː,T V R R V R V,C V C C V C V
lit-165_spider-1,165_spider,voras,ʋ oː r ɐ s,R V R V S,C V C V C
lit-166_ant-1,166_ant,skruzdė,s k r ʊ z d eː,S T R V S T V,C C C V C C V
lit-167_louse-1,167_louse,utėlė,ʊ t eː lˠ eː,V T V R V,V C V C V
lit-168_gnat-1,168_gnat,uodas,u ə d ɐ s,V V T V S,V V C V C
lit-169_fly-1,169_fly,musė,m ʊ s eː,R V S V,C V C V
lit-170_butterfly-1,170_butterfly,drugys,d r ʊ g iː s,T R V T V S,C C V C V C
lit-170_butterfly-2,170_butterfly,peteliškė,p ɛ t ɛ lʲ ɪ ʃ k eː,T V T V R V S T V,C V C V C V C C V
lit-171_berry-1,171_berry,uoga,u ə g ɐ,V V T V,V V C V
lit-172_apple-1,172_apple,obuolys,o b uə lˠ iː s,V T V R V S,V C V C V C
lit-173_mushroom-1,173_mushroom,grybas,g r iː b ɐ s,T R V T V S,C C V C V C
lit-174_onion-1,174_onion,svogūnas,s ʋ o g uː n ɐ s,S R V T V R V S,C C V C V C V C
lit-175_seed-1,175_seed,sėkla,s eː k lˠ ɐ,S V T R V,C V C C V
lit-176_grain-1,176_grain,grūdai,g r uː d ɐɪˑ,T R V T V,C C V C V
lit-177_hay-1,177_hay,šienas,ʃ i ə n ɐ s,S V V R V S,C V V C V C
lit-178_peelhusk-1,178_peelhusk,žievelė,ʒ i ə ʋ ɛ lˠ eː,S V V R V R V,C V V C V C V
lit-179_pit-1,179_pit,duobė,d uə b eː,T V T V,C V C V
lit-180_trap-1,180_trap,pinklės,pʲ ɪ n k lˠ eː s,T V R T R V S,C V C C C V C
lit-180_trap-2,180_trap,žabangai,ʒ ɐ b aˑ n g ɐɪˑ,S V T V R T V,C V C V C C V
lit-181_noose-1,181_noose,kilpa,kʲ ɪ lˠ p ɐ,T V R T V,C V C C V
lit-182_track-1,182_track,vėžė,ʋ eː ʒ eː,R V S V,C V C V
lit-182_track-2,182_track,pėdos,p eː d o s,T V T V S,C V C V C
lit-182_track-3,182_track,pėdsakas,p eː d s ɐ k ɐ s,T V T S V T V S,C V C C V C V C
lit-183_ash-1,183_ash,pelenai,p ɛ lˠ ɛ n ɐɪˑ,T V R V R V,C V C V C V
lit-184_filth-1,184_filth,purvas,p ʊ rˑ ʋ ɐ s,T V R R V S,C V C C V C
lit-185_iron-1,185_iron,geležis,g ɛ lˠ ɛ ʒʲ ɪ s,T V R V S V S,C V C V C V C
lit-186_gold-1,186_gold,auksas,aˑ ʊ k s ɐ s,V V T S V S,V V C C V C
lit-187_silver-1,187_silver,sidabras,sʲ ɪ d a b r ɐ s,S V T V T R V S,C V C V C C V C
lit-188_coal-1,188_coal,anglis,ɐ n g lʲ ɪ s,V R T R V S,V C C C V C
lit-189_glass-1,189_glass,stiklas,s tʲ ɪ k lˠ ɐ s,S T V T R V S,C C V C C V C
lit-190_clay-1,190_clay,molis,m oː lʲ ɪ s,R V R V S,C V C V C
lit-191_sand-1,191_sand,smėlis,s m eː lʲ ɪ s,S R V R V S,C C V C V C
lit-192_human-1,192_human,žmogus,ʒ m o g ʊ s,S R V T V S,C C V C V C
lit-193_man-1,193_man,vyras,ʋ iː r ɐ s,R V R V S,C V C V C
lit-193_man-2,193_man,vyriškis,ʋʲ iː rʲ ɪ ʃ kʲ ɪ s,R V R V S T V S,C V C V C C V C
lit-194_woman-1,194_woman,moteris,m oː t ɛ rʲ ɪ s,R V T V R V S,C V C V C V C
lit-195_child-1,195_child,vaikas,ʋ ɐɪˑ k ɐ s,R V T V S,C V C V C
lit-196_boy-1,196_boy,vaikinas,ʋ ɐɪˑ kʲ ɪ n ɐ s,R V T V R V S,C V C V C V C
lit-196_boy-2,196_boy,berniukas,b ɛ r nʲ ɪ ʊ k ɐ s,T V R R V V T V S,C V C C V V C V C
lit-197_girl-1,197_girl,mergytė,m ɛ r g iː t eː,R V R T V T V,C V C C V C V
lit-197_girl-2,197_girl,mergaitė,m ɛ r g aˑ j ɪ t eː,R V R T V R V T V,C V C C V C V C V
lit-198_family-1,198_family,šeima,ʃ ɛɪˑ m ɑ,S V R V,C V C V
lit-199_grandfather-1,199_grandfather,senelis,s ɛ n ɛ lʲ ɪ s,S V R V R V S,C V C V C V C
